n,titulo,categorias,objetivos,trilhas_candidatas,libras,link
42,"Digipeda – Competências Digitais e Pedagógicas","Educação","Inovar na sala de aula","professor-inovador-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?digipeda-competencias-digitais-pedagogicas"
43,"Pedagogias ativas com uso de ferramentas digitais","Educação","Inovar na sala de aula","professor-inovador-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pedagogias-ativas-ferramentas-digitais"
44,"Competências digitais para o desenvolvimento profissional","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?competencias-digitais-desenvolvimento-profissional"
45,"Gestão de Cursos EaD","Educação a Distância","Inovar na sala de aula; Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-cursos-ead"
46,"Gestão de Finanças Pessoais","Gestão","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-financas-pessoais"
47,"Explorando Estilos de Aprendizagem","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?explorando-estilos-aprendizagem"
48,"Introdução a Educação Comparada e Internacional","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-comparada-internacional"
49,"Node.js para iniciantes","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?node-js-iniciantes"
50,"Trilhas Científicas: Produtos Educacionais na Educação Ambiental","Ambiente e Saúde; Desenvolvimento Educacional e Social","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?trilhas-cientificas-produtos-educacao-ambiental"
51,"Planejamento e Produção de Eventos Escolares, Culturais e Acadêmicos","Produção Cultural e Design","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?planejamento-producao-eventos-escolares"
52,"Matemática da Informática","Desenvolvimento Educacional e Social; Educação","Inovar na sala de aula; Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?matematica-da-informatica"
53,"Escola de Inovação: Robótica e Prototipagem para Professores","Desenvolvimento Educacional e Social","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?escola-inovacao-robotica-prototipagem-professores"
54,"Pomerisch Ekogame: Cultura Pomerana, ambiente e diversão","Ambiente e Saúde","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pomerisch-ekogame-cultura-pomerana"
55,"Introdução à Saúde, ao Meio Ambiente e à Segurança nas Escolas","Ciências Sociais Aplicadas","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-saude-ambiente-seguranca-escolar"
56,"Pedagogia de Freinet em aula-passeio","Ciências Humanas","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pedagogia-freinet-aula-passeio"
57,"Inteligência Artificial e Alfabetização Científica na abordagem CTSA","Ciências Humanas","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?alfabetizacao-cientifica-baseada-abordagem-ctsa"
58,"Introdução à Educação Matemática Crítica","Ciências Exatas e da Terra","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-matematica-critica"
59,"Direito da Tecnologia da Informação","Ciências Humanas","Licença Capacitação (afinidade servidor público)","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?direito-tecnologia-informacao"
60,"Introdução a NoSQL com MongoDB","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-nosql-mongodb"
61,"Neurodiversidade no autismo","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?neurodiversidade-autismo"
62,"Planejamento: como (se) preparar?","Educação","Inovar na sala de aula; Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?planejamento-como-se-preparar"
63,"Mapas Conceituais como instrumento auxiliar no processo de ensino-aprendizagem","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mapas-conceituais-processo-ensino-aprendizagem"
64,"Avaliação com o uso de Mapas Conceituais","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estrategias-avaliacao"
65,"Micropráticas de Pensamento Computacional em Ciências","Ciências Exatas e da Terra","Inovar na sala de aula","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?micro-praticas-pensamento-computacional-ciencias"
66,"Física aplicada para bombeiros","Ciências da Natureza; Educação; Educação a Distância","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?fisica-aplicada-para-bombeiros"
67,"Manguezais: Restauração para um futuro sustentável","Ambiente e Saúde","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?manguezais-restauracao-futuro-sustentavel"
68,"Biologia Celular: Membrana Plasmática","Ambiente e Saúde; Ciências da Natureza","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?biologia-celular-membrana-plasmatica"
69,"Gestão Estratégica em Instituições Públicas de Ensino Superior","Gestão","Crescer na carreira; Licença Capacitação (afinidade servidor público)","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-estrategica-instituicoes-publicas-superior"
70,"Educação Especial: aspectos introdutórios","Educação; Inclusão e Acessibilidade","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-especial-aspectos-introdutorios"
71,"Aprendizagem baseada em equipes para professores","Educação","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?aprendizagem-baseada-equipes-para-professores"
72,"Pilares do Estado Democrático de Direito na Constituição Federal de 1988","Gestão","Crescer na carreira; Licença Capacitação (afinidade servidor público)","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pilares-estado-democratico-direito-constituicao"
73,"Educação Matemática Crítica nos processos de ensino e aprendizagem","Educação; Matemática","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-matematica-critica-processos-aprendizagem"
74,"Álgebra no Ensino Fundamental","Matemática","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?algebra-ensino-fundamental"
75,"Introdução à Lógica Digital","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-logica-digital"
