n,titulo,categorias,objetivos,trilhas_candidatas,libras,link
107,"Desvendando o Plano Educacional Individualizado (PEI)","Educação; Inclusão e Acessibilidade","Inovar na sala de aula; Licença Capacitação (afinidade servidor público)","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desvendando-plano-educacional-individualizado-pei"
108,"Caminhos para a alfabetização no contexto da deficiência visual","Educação; Inclusão e Acessibilidade","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?caminhos-alfabetizacao-contexto-deficiencia-visual"
109,"Estratégias de Pesquisa Qualitativa – Aspectos práticos","Educação","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estrategias-pesquisa-qualitativa-aspectos-praticos"
110,"Estatística com o R","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estatistica-com-r"
111,"Introdução à Metodologia da Pesquisa","Educação","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-metodologia-pesquisa"
112,"Educação para as relações étnico-raciais","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-para-relacoes-etnico-raciais"
113,"Introdução à Produção de Audiolivros","Tecnologias Educacionais","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-producao-audiolivros"
114,"Noções de Prevenção e Combate a Incêndios","Engenharia","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?nocoes-prevencao-combate-incendios"
115,"Gestão Acadêmica de Cursos de Graduação","Gestão","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-academica-cursos-graduacao"
116,"Introdução à Libras","Inclusão e Acessibilidade; Línguas","","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-libras"
117,"Introdução à Educação de Surdos","Educação; Línguas","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-surdos"
118,"Mooc de Lovelace : Arte e Game Design","Design; Educação","Inovar na sala de aula","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-arte-game-design"
119,"Mooc de Lovelace: Robótica Educacional","Tecnologias e Informática","Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-robotica-educacional"
120,"MOOC de Lovelace: Programação Python e C","Tecnologias e Informática","Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-programacao-python-c"
121,"Mooc de Lovelace: Pensamento Computacional com Scratch","Tecnologias e Informática","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-pensamento-computacional-scratch"
122,"MOOC de Lovelace: Pensamento Computacional","Tecnologias e Informática","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-lovelace-pensamento-computacional"
123,"Mooc de Lovelace: Pensamento Computacional no Cotidiano Feminino","Tecnologias e Informática","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lovelace-pensamento-computacional-cotidiano-feminino"
124,"Educador Maker: Primeiros Passos","Educação","Inovar na sala de aula","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-primeiros-passos"
125,"Educador Maker: Aprendizagem Baseada em Projetos","Educação","Inovar na sala de aula","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-aprendizagem-baseada-projetos"
126,"Educador Maker: ensino ‘mão na massa’","Educação","Inovar na sala de aula","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-ensino-mao-massa"
127,"Educador Maker: Alfabetização Científica inspirada em Leonardo Da Vinci","Educação","Inovar na sala de aula","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educador-maker-alfabetizacao-cientifica-inspirada"
128,"Inglês Comunicativo – Aprenda o Básico Essencial","Línguas","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ingles-comunicativo-basico-essencial"
129,"Desenvolvendo competências em informações acadêmicas e profissionais.","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desenvolvendo-competencias-informacoes-academicas-profissionais"
130,"PROGRAMAKIDS: Apresentando a Programação para as Crianças","Tecnologias e Informática","Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?programakids-apresentando-programacao-para-criancas"
131,"Educação Ambiental em foco: discussões e práticas","Ciências da Natureza; Educação","Inovar na sala de aula; Licença Capacitação (afinidade servidor público)","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-foco-discussoes-praticas"
132,"MOOC de Mary Keller: Robótica para Educadores","Tecnologias e Informática","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-mary-keller-robotica-educadores"
133,"Desmistificando o Cubo mágico","Matemática","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desmistificando-cubo-magico"
134,"Estratégias Flexíveis em Tempos de Pandemia","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estrategias-flexiveis-ensino-tempos-pandemia"
135,"Ensino de astronomia: Reconhecimento do Céu noturno","Ciências da Natureza; Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ensino-astronomia-reconhecimento-ceu-noturno"
136,"Práticas Educativas em Saneamento Básico","Ambiente e Saúde","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?praticas-educativas-saneamento-basico"
137,"Química para Iniciantes","Ciências da Natureza","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?quimica-para-iniciantes"
138,"Compreendendo a Educação Profissional Técnica Integrada ao Ensino Médio: textos e contextos","Educação","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?compreendo-educacao-profissional-tecnologica-integrada"
139,"Avaliação por Rubrica no Moodle","Educação a Distância","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?avaliacao-rubrica-moodle"
140,"Acessibilidade em Processos Seletivos Discentes￼￼￼","Inclusão e Acessibilidade","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?acessibilidade-processos-seletivos-discentes"
141,"Metodologias Ativas: Educação Inovadora","Educação","Inovar na sala de aula; Crescer na carreira","professor-inovador-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?metodologias-ativas-educacao-inovadora"
142,"Gestão da Liderança para Melhores Resultados","Gestão","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-lideranca-para-melhores-resultados"
143,"Vacinas: O que é preciso saber?","Ambiente e Saúde","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?vacinas-preciso-saber"
144,"Ferramentas Digitais para Curadoria Educacional","Tecnologias Educacionais","Inovar na sala de aula","professor-inovador-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ferramentas-digitais-para-curadoria-educacional"
145,"Introdução à gestão da inovação","Gestão","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-gestao-inovacao"
146,"Como desenvolver bons hábitos de estudo?","Desenvolvimento Pessoal","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?como-desenvolver-bons-habitos-estudo"
147,"Inclusão Sociodigital para Multiplicadores","Tecnologias Educacionais","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?inclusao-sociodigital-para-multiplicadores"
148,"Gamificação no Moodle","Educação a Distância; Tecnologias Educacionais","Inovar na sala de aula","professor-inovador-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gamificacao-moodle"
149,"Acessibilidade e Tecnologia","Inclusão e Acessibilidade","","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?acessibilidade-tecnologia"
150,"Ferramenta para gravação de videoaulas","Tecnologias Educacionais","Inovar na sala de aula; Aprender tecnologia","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ferramenta-para-gravacao-videoaulas"
151,"Diversidade Cultural, Economia Criativa e Desenvolvimento","Artes e Humanidades","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?curso-livre-sobre-diversidade-cultural"
152,"Introdução a projetos","Gestão","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-projetos"
153,"Criando ambientes virtuais com Unity 3D","Tecnologias Educacionais","Inovar na sala de aula; Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?criando-ambientes-virtuais-unity"
154,"Introdução ao Google Classroom","Tecnologias Educacionais","Inovar na sala de aula; Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-google-classroom"
155,"Utilizando o Google Arts &#038; Culture em Sala de Aula","Artes e Humanidades; Educação a Distância; Tecnologias Educacionais","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?utilizando-google-arts-culture-aula"
156,"Google Drive: Colaboração na prática","Educação a Distância; Tecnologias Educacionais","Inovar na sala de aula","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?google-drive-colaboracao-pratica"
157,"Catalogação de softwares educacionais para o ensino de Matemática","Matemática; Tecnologias Educacionais","Inovar na sala de aula; Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?catalogacao-softwares-educacionais-ensino-matematica"
158,"Programação Básica: Scratch","Tecnologias e Informática","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?programacao-basica-scratch"
159,"Realidade Virtual como apoio ao ensino","Tecnologias Educacionais","Inovar na sala de aula; Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?realidade-virtual-como-apoio-ensino"
160,"Uso Educacional do Canva","Design; Tecnologias Educacionais","Inovar na sala de aula; Aprender tecnologia","",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?uso-educacional-canva"
161,"Protagonismo feminino na política: oratória e marketing pessoal","Artes e Humanidades; Desenvolvimento Pessoal; Gestão","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?maratona-mulheres-politica-oratoria-marketing"
162,"Habilidades humanas e técnicas necessárias na carreira política","Artes e Humanidades; Desenvolvimento Pessoal","Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?maratona-mulheres-politica-habilidades-humanas"
163,"Lesson Study – versão Português","Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lesson-study-versao-portugues"
164,"Lesson Study – English version","Educação","Inovar na sala de aula; Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?lesson-study-english-version"
165,"Por que Lesson Stydy?","Educação","Inovar na sala de aula; Crescer na carreira","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?id=390"
