n,titulo,categorias_slugs,categorias_nomes,libras,link_curso,link_thumb,tags
58,"Introdução à Educação Matemática Crítica","ciencias-exatas-e-da-terra","Ciências Exatas e da Terra",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-educacao-matematica-critica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/10/83-vitrine_Introducao-a-Educacao-Matematica-Critica.png","educacao;educadores;matematica;unac"
59,"Direito da Tecnologia da Informação","ciencias-humanas","Ciências Humanas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?direito-tecnologia-informacao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/09/vitrine_direito-da-tecnologia-da-informacao.png","direito;tecnologia;unac"
60,"Introdução a NoSQL com MongoDB","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-nosql-mongodb","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/08/vitrine_Introducao-a-NoSQL-com-MongoDB.png","banco-de-dados;programacao;unac"
61,"Neurodiversidade no autismo","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?neurodiversidade-autismo","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/08/vitrine_Neurodiversidade-no-Autismo.png","neurodiversidade;unac"
62,"Planejamento: como (se) preparar?","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?planejamento-como-se-preparar","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/08/vitrine_Planejamento_-como-se-preparar.png","planejamento;unac"
63,"Mapas Conceituais como instrumento auxiliar no processo de ensino-aprendizagem","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mapas-conceituais-processo-ensino-aprendizagem","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/08/vitrine_Mapas-Conceituais-no-processo-de-ensino-aprendizagem.png","mapa-conceitual;unac"
64,"Avaliação com o uso de Mapas Conceituais","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estrategias-avaliacao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/08/vitrine_Estrategias-de-Avaliacao.png","formacao-de-professores;unac"
65,"Micropráticas de Pensamento Computacional em Ciências","ciencias-exatas-e-da-terra","Ciências Exatas e da Terra",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?micro-praticas-pensamento-computacional-ciencias","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/07/vitrine_micropraticas.png","pensamento-computacional"
66,"Física aplicada para bombeiros","ciencias-da-natureza;educacao;educacao-a-distancia","Ciências da Natureza;Educação;Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?fisica-aplicada-para-bombeiros","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/07/vitrine_fisica_bombeiros.png","bombeiros;ciencias;ensino;fisica"
67,"Manguezais: Restauração para um futuro sustentável","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?manguezais-restauracao-futuro-sustentavel","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/03/2.png","biomas-costeiros;conservacao;manguezal;replantio"
68,"Biologia Celular: Membrana Plasmática","ambiente-e-saude;ciencias-da-natureza","Ambiente e Saúde;Ciências da Natureza",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?biologia-celular-membrana-plasmatica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2024/03/1.png","difusao-facilitado;difusao-simples;estrutura-quimica;membrana-plasmatica;transporte-ativo"
69,"Gestão Estratégica em Instituições Públicas de Ensino Superior","gestao","Gestão",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-estrategica-instituicoes-publicas-superior","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/gestao.png","ensino-superior;gestao-estrategica;instituicao-publica;unac"
70,"Educação Especial: aspectos introdutórios","educacao;inclusao-e-acessibilidade","Educação;Inclusão e Acessibilidade",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-especial-aspectos-introdutorios","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/edae.png","acessibilidade;educacao-especial;inclusao;unac"
71,"Aprendizagem baseada em equipes para professores","educacao","Educação",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?aprendizagem-baseada-equipes-para-professores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/ap2.png","aprendizagem;formacao-de-professores;unac"
72,"Pilares do Estado Democrático de Direito na Constituição Federal de 1988","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pilares-estado-democratico-direito-constituicao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/pilar.png","direito;direito-constitucional;unac"
73,"Educação Matemática Crítica nos processos de ensino e aprendizagem","educacao;matematica","Educação;Matemática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-matematica-critica-processos-aprendizagem","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/edu.png","unac"
74,"Álgebra no Ensino Fundamental","matematica","Matemática",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?algebra-ensino-fundamental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/algebra.png","formacao-de-professores;unac"
75,"Introdução à Lógica Digital","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-logica-digital","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/logica.png","unac"
76,"Tecnologias Digitais Aplicadas ao Ensino Médio Integrado no contexto da Educação Profissional e Tecnológica","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?tecnologias-digitais-aplicadas-ensino-medio","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/12/tec-1.png","unac"
77,"Catadores como Ecoeducadores Ambientais","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?catadores-como-ecoeducadores-ambientais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/11/vitrine_Catadores-como-Ecoeducadores-Ambientais.png","educacao-ambiental;rio-doce;rio-doce-escolar;riodoceescolar"
78,"Plantando um Rio mais Doce – Preparando a terra","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?plantando-rio-mais-doce-terra","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002609_Slides-2.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
79,"Hortas e meliponários educativos","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?hortas-meliponarios-educativos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002204_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
80,"Cultura oceânica e poluição dos rios: a relação entre as duas realidades","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?cultura-oceanica-poluicao-rios-relacao","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002234_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
81,"Comunidades Quilombolas e os Saberes Sócioambientais","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?comunidades-quilombolas-saberes-socioambientais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002252_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
82,"Resíduos Sólidos e a Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?residuos-solidos-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002337_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
