Unidade,Curso,Carga horaria,Tipo de curso,Matriculas,Certificados,% certificados,Tempo medio conclusao dias,Horas formacao,Classificacao popularidade
Campus Vila Velha,Comunidades Quilombolas e os Saberes Sócioambientais,20,Pesquisa,972,429,0.44135802469135804,28.463840399002493,8580,🟠 Baixa
Campus Ibatiba,Pilares do Estado Democrático de Direito na Constituição Federal de 1988,30,Ensino,968,423,0.4369834710743802,28.539923954372625,12690,🟡 Média
Campus Colatina,Matemática da Informática,60,Ensino,964,222,0.23029045643153526,44.44559585492228,13320,🟡 Média
Campus Colatina,Biologia Celular: Membrana Plasmática,10,Ensino,933,230,0.2465166130760986,21.925925925925927,2300,🟡 Média
Campus Aracruz,"Saneamento Básico Urbano: histórico, aspectos e tendências (Itinerário Formativo - Ensino de Ciências, Saúde e Ambiente)",20,Ensino,903,279,0.3089700996677741,33.611570247933884,5580,🟠 Baixa
Cefor,Mooc de Lovelace: Pensamento Computacional no Cotidiano Feminino,20,Ensino,896,226,0.25223214285714285,34.357142857142854,4520,🔴 Muito Baixa
Campus Vila Velha,Resíduos Sólidos e a Educação Ambiental,20,Ensino,880,386,0.43863636363636366,23.379310344827587,7720,🟠 Baixa
Cefor,Introdução à Produção de Audiolivros,20,Ensino,837,189,0.22580645161290322,37.214285714285715,3780,🟠 Baixa
Cefor,Estratégias Flexíveis de Ensino em Tempos de Pandemia,30,Ensino,836,296,0.35406698564593303,34.58965517241379,8880,🔴 Muito Baixa
Campus Vila Velha,Reflorestamento de Matas Ciliares,20,Pesquisa,831,298,0.358604091456077,28.69260700389105,5960,🟠 Baixa
Campus Colatina,Planejamento: como (se) preparar?,30,Ensino,826,287,0.3474576271186441,27.112727272727273,8610,🟡 Média
Cefor,Competências digitais para o desenvolvimento profissional,60,Pesquisa,825,242,0.29333333333333333,36.311557788944725,14520,🟡 Média
Campus Vila Velha,Práticas experimentais em ensino de ciências,20,Ensino,810,341,0.42098765432098767,27.336569579288025,6820,🟠 Baixa
Campus Vila Velha,Avaliação da Aprendizagem no Contexto da Educação Ambiental,20,Pesquisa,805,541,0.6720496894409937,23.892514395393473,10820,🟠 Baixa
Cefor,Inclusão Sociodigital para Multiplicadores,30,Ensino,804,241,0.2997512437810945,38.51754385964912,7230,🔴 Muito Baixa
Campus Colatina,Inovação Social no âmbito das Políticas Públicas,30,Ensino,799,294,0.36795994993742176,31.706382978723404,8820,🟠 Baixa
Campus Nova Venécia,Aprendizagem baseada em equipes para professores,30,Ensino,771,249,0.3229571984435798,39.57425742574257,7470,🟠 Baixa
Campus Vila Velha,Saberes Populares e Educação Ambiental,20,Pesquisa,769,343,0.4460338101430429,22.769968051118212,6860,🟠 Baixa
Cefor,Física aplicada para bombeiros,30,Ensino,767,221,0.288135593220339,22.00502512562814,6630,🟡 Média
Campus Aracruz,"Bem-Estar e Substâncias Psicoativas: uma questão de saúde pública (Itinerário Formativo - Ensino de Ciências, Saúde e Ambiente)",20,Ensino,744,210,0.28225806451612906,32.067796610169495,4200,🟠 Baixa
Campus Serra,Introdução a NoSQL com MongoDB,60,Ensino,733,196,0.2673942701227831,38.64848484848485,11760,🟡 Média
Campus Colatina,Explorando Estilos de Aprendizagem,30,Ensino,716,324,0.45251396648044695,24.67704280155642,9720,🟡 Média
Cefor,Manguezais: Restauração para um futuro sustentável,15,Ensino,707,307,0.43422913719943423,18.415770609318997,4605,🟠 Baixa
Cefor,Por que Lesson Study? – versão Português,60,Ensino,705,253,0.3588652482269504,20.53469387755102,15180,🔴 Muito Baixa
Cefor,Digipeda - Competências Digitais e Pedagógicas,60,Pesquisa,698,261,0.37392550143266473,40.52401746724891,15660,🟠 Baixa
